time,latitude,longitude
1701650688.2701375,nan,nan
1701650688.2711983,nan,nan
1701650688.272379,nan,nan
1701650688.2734501,nan,nan
1701650688.2747264,nan,nan
1701650688.2764843,nan,nan
1701650688.2790394,nan,nan
1701650688.2807047,nan,nan
1701650688.2826405,nan,nan
1701650688.2835047,nan,nan
1701650688.2905192,nan,nan
1701650688.2927341,nan,nan
1701650688.2939394,nan,nan
1701650688.295841,nan,nan
1701650688.2967844,nan,nan
1701650688.3004968,nan,nan
1701650688.3039763,nan,nan
1701650688.3039794,nan,nan
1701650688.3268886,nan,nan
1701650688.3268914,nan,nan
1701650688.3268929,nan,nan
1701650688.3268952,nan,nan
1701650688.3268986,nan,nan
1701650688.3269012,nan,nan
1701650688.3269024,nan,nan
1701650688.3269057,nan,nan
1701650688.3269083,nan,nan
1701650688.3269112,nan,nan
1701650688.3269124,nan,nan
1701650688.3370135,nan,nan
1701650688.337015,nan,nan
1701650688.3370163,nan,nan
1701650688.3370175,nan,nan
1701650688.340891,nan,nan
1701650688.3408923,nan,nan
1701650688.3408937,nan,nan
1701650688.343868,nan,nan
1701650688.3438697,nan,nan
1701650688.3460202,nan,nan
1701650688.347709,nan,nan
1701650688.3491278,nan,nan
1701650688.350507,nan,nan
1701650688.3551507,nan,nan
1701650688.3561625,nan,nan
1701650688.358314,nan,nan
1701650688.3597548,nan,nan
1701650688.3609405,nan,nan
1701650688.362527,nan,nan
1701650688.3646343,nan,nan
1701650688.3658555,nan,nan
1701650688.3677447,nan,nan
1701650688.3687398,nan,nan
1701650688.3749578,nan,nan
1701650688.3758333,nan,nan
1701650688.379264,nan,nan
1701650688.3808205,nan,nan
1701650688.3828776,nan,nan
1701650688.38562,nan,nan
1701650688.3874907,nan,nan
1701650688.388964,nan,nan
1701650688.3908415,nan,nan
1701650688.3929615,nan,nan
1701650688.3942177,nan,nan
1701650688.3980243,nan,nan
1701650688.3997567,nan,nan
1701650688.4015665,nan,nan
1701650688.4081964,nan,nan
1701650688.412946,nan,nan
1701650688.4144075,nan,nan
1701650688.4150531,nan,nan
1701650688.4173312,nan,nan
1701650688.421909,nan,nan
1701650688.4264061,nan,nan
1701650688.4274898,nan,nan
1701650688.4284067,nan,nan
1701650688.429804,nan,nan
1701650688.432037,nan,nan
1701650688.4335902,nan,nan
